,link,category,location,id,date,countdates,counts
313,https://www.tesla.com/de_DE/careers/search/job/production-engineering-lead-battery-leitung-der-produktions-serienplanung-der-batteriemontage-m-w-d-gigafactory-berlin-brandenburg-76301,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76301.0,2020-11-05,,
311,https://www.tesla.com/de_DE/careers/search/job/meister-fr-techniker-in-musterbau-und-neuprodukteinfhrung-chassis-und-fahrzeugmontage-m-w-d-gigafactory-berlin-brandenburg-76300,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76300.0,2020-11-05,,
290,https://www.tesla.com/de_DE/careers/search/job/automation-equipment-engineer-foundry-gigafactory-berlin-m-w-d-76296,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76296.0,2020-11-05,,
142,https://www.tesla.com/de_DE/careers/search/job/meister-fr-techniker-in-musterbau-und-neuprodukteinfhrung-fr-die-musterfertigungslinie-m-w-d-gigafactory-berlin-brandenburg-76302,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76302.0,2020-11-05,,
181,https://www.tesla.com/de_DE/careers/search/job/financial-controller-m-w-d-gigafactory-berlin-74609,Finance,"Grünheide (Gigafactory Berlin), Brandenburg",74609.0,2020-11-05,,
296,https://www.tesla.com/de_DE/careers/search/job/instandhalter-karosseriebau-m-w-d-gigafactory-berlin-brandenburg-76114,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76114.0,2020-11-05,,
251,https://www.tesla.com/de_DE/careers/search/job/senior-manager-cell-shop-m-w-d-gigafactory-berlin-brandenburg-76311,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76311.0,2020-11-05,,
160,https://www.tesla.com/de_DE/careers/search/job/bauleitung-elektrotechnik-site-manager-electrical-m-f-d-gigafactory-berlin-76304,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",76304.0,2020-11-05,,
246,https://www.tesla.com/de_DE/careers/search/job/lackiererei-anlagenfhrer-decklackapplikation-m-w-d-gigafactory-berlin-brandenburg-76110,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76110.0,2020-11-05,,
197,https://www.tesla.com/de_DE/careers/search/job/lackiererei-anlagenfhrer-nahtapplikation-m-w-d-gigafactory-berlin-brandenburg-76106,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76106.0,2020-11-05,,
257,https://www.tesla.com/de_DE/careers/search/job/construction-quality-control-supervisor-mechanical-m-w-d-gigafactory-berlin-brandenburg-76223,Facilities,"Grünheide (Gigafactory Berlin), Brandenburg",76223.0,2020-11-04,,
317,https://www.tesla.com/de_DE/careers/search/job/instandhalter-batterie-m-w-d-gigafactory-berlin-brandenburg-73156,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",73156.0,2020-11-04,,
287,https://www.tesla.com/de_DE/careers/search/job/manufacturing-equipment-engineer-m-w-d-cell-manufacturing-gigafactory-berlin-brandenburg-76235,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",76235.0,2020-11-04,,
139,https://www.tesla.com/de_DE/careers/search/job/produkt-techniker-musterbau-und-neuprodukteinfhrung-fahrwerk-m-w-d-gigafactory-berlin-brandenburg-74325,Manufacturing,"Grünheide (Gigafactory Berlin), Brandenburg",74325.0,2020-11-03,,
279,https://www.tesla.com/de_DE/careers/search/job/global-supply-analyst-logistics-freight-m-w-d-gigafactory-berlin-75981,Supply Chain,"Grünheide (Gigafactory Berlin), Brandenburg",75981.0,2020-11-03,,
199,https://www.tesla.com/de_DE/careers/search/job/technical-training-instructor-w-m-d-gigafactory-berlin-75197,HR,"Grünheide (Gigafactory Berlin), Brandenburg",75197.0,2020-10-29,,
